goal,KNeighborsRegressor,LinearRegression,SVR,RandomForestRegressor,DecisionTreeRegressor
0,0.409487977858502,0.12851133667089,0.341286371342075,0.498419528265363,0.497159356953332
1,0.236931818181818,0.086505126831821,0.266113547126295,0.39,0.5
2,0.227258228215166,-0.089264362206418,0.124225313415489,0.269094350196554,0.220932415519399
3,0.609444444444444,0.582606017982535,0.360625505457033,0.72438070520852,0.831034699918131
4,0.486760303937371,0,0.229026749740155,0.482652152399802,1
5,0.03931330472103,-0.399915753038239,0.054030470472409,0.070789473684211,0.115524971327286
6,0.487699373609778,0.47641236461184,0.276727927344812,0.639300253164557,0.652017328670599
,,,,,
goal,KNN,LNR,SVR,RF,CART
0,41,13,34,50,50
1,24,9,27,39,50
2,23,-9,12,27,22
3,61,58,36,72,83
4,49,0,23,48,100
5,4,-40,5,7,12
6,49,48,28,64,65
